List of lists of tuples;Tasks#;Workers#;Jobs#;Sch.FCFS;FCFS.ImpTime;Sch.MRR;MMR.ImpTime;Sch.JSP;JSP.time
[[(3,1),(2,1),(3,2),(2,3)],[(2,2),(3,4),(2,3),(3,3)],[(0,4),(1,3),(0,3),(1,3)],[(3,3),(2,2),(3,2)],[(1,1),(0,3),(1,1),(0,1)],[(1,3),(0,3),(1,2)]];22;4;6;53;8250;16;19750;15;3191041
[[(0,1),(2,1),(0,4),(2,2)],[(1,1),(3,1),(1,3),(3,3)],[(3,2),(1,1),(3,4),(1,1)],[(2,4),(0,4),(2,2)],[(3,4),(1,4),(3,3)],[(2,4),(0,2),(2,4),(0,4)]];22;4;6;59;3209;19;12208;18;3300667
[[(3,1),(1,3),(3,1)],[(1,1),(3,4),(1,3),(3,4)],[(3,3),(1,3),(3,2),(1,1)],[(0,4),(2,2),(0,2),(2,3)],[(2,4),(0,1),(2,3),(0,4)],[(0,1),(2,2),(0,2)]];22;4;6;54;4291;15;14125;15;3109750
[[(1,3),(2,4),(1,2),(2,4)],[(2,3),(1,3),(2,3),(1,4)],[(0,2),(3,1),(0,1)],[(0,2),(3,3),(0,3),(3,1)],[(2,1),(1,4),(2,2)],[(3,1),(0,3),(3,3),(0,2)]];22;4;6;55;8083;17;8417;17;3096041
[[(1,3),(3,4),(1,3),(3,4)],[(0,4),(2,3),(0,1),(2,2)],[(3,1),(1,2),(3,2)],[(3,1),(1,2),(3,3),(1,3)],[(2,3),(0,3),(2,4),(0,2)],[(0,4),(2,4),(0,1)]];22;4;6;59;3917;18;11583;17;3218541
[[(2,4),(1,3),(2,1)],[(1,3),(2,1),(1,1),(2,4)],[(0,1),(3,1),(0,1)],[(0,3),(3,2),(0,1),(3,1)],[(2,2),(1,1),(2,2),(1,3)],[(3,2),(0,2),(3,3),(0,2)]];22;4;6;44;13833;14;9750;14;3195167
[[(3,1),(0,3),(3,2)],[(1,3),(2,3),(1,3)],[(2,1),(1,2),(2,3),(1,1)],[(1,3),(2,4),(1,4),(2,1)],[(0,3),(3,2),(0,4),(3,1)],[(3,3),(0,2),(3,2),(0,3)]];22;4;6;54;4042;16;15125;16;3004458
[[(0,4),(3,1),(0,4),(3,4)],[(3,3),(0,4),(3,2)],[(2,2),(1,1),(2,3)],[(3,3),(0,1),(3,4),(0,1)],[(2,3),(1,2),(2,1),(1,2)],[(1,1),(2,2),(1,3),(2,1)]];22;4;6;52;3959;18;11625;17;3222792
[[(3,3),(1,1),(3,2),(1,2)],[(0,3),(2,1),(0,2)],[(0,4),(2,2),(0,2),(2,3)],[(2,1),(0,1),(2,2),(0,2)],[(1,2),(3,2),(1,4),(3,3)],[(1,3),(3,4),(1,1)]];22;4;6;50;3792;15;16000;14;3334791
[[(1,1),(3,3),(1,1)],[(2,4),(0,4),(2,2),(0,3)],[(3,4),(1,4),(3,1),(1,2)],[(0,1),(2,4),(0,2),(2,2)],[(0,2),(2,4),(0,2)],[(1,3),(3,1),(1,4),(3,2)]];22;4;6;56;4583;17;13542;16;3366916
[[(2,1),(0,3),(2,3)],[(3,3),(1,4),(3,3)],[(0,2),(2,3),(0,2),(2,4)],[(3,4),(1,1),(3,2),(1,4)],[(1,3),(3,1),(1,1),(3,3)],[(2,1),(0,2),(2,4),(0,2)]];22;4;6;56;10334;17;8959;16;3090167
[[(3,1),(0,1),(3,4),(0,3)],[(3,2),(0,2),(3,1)],[(0,2),(3,1),(0,4),(3,1)],[(1,4),(2,3),(1,3)],[(1,4),(2,2),(1,2),(2,3)],[(2,4),(1,4),(2,4),(1,1)]];22;4;6;56;4208;20;17709;18;3276584
[[(1,4),(3,3),(1,2),(3,1)],[(0,4),(2,2),(0,4)],[(2,1),(0,1),(2,4),(0,3)],[(3,1),(1,4),(3,4),(1,3)],[(3,2),(1,2),(3,1)],[(0,2),(2,3),(0,4),(2,4)]];22;4;6;59;7625;19;8458;18;3000041
[[(3,2),(0,1),(3,1)],[(2,4),(1,2),(2,4)],[(2,1),(1,3),(2,4),(1,4)],[(1,4),(2,2),(1,2),(2,2)],[(0,1),(3,1),(0,3),(3,4)],[(3,3),(0,2),(3,4),(0,3)]];22;4;6;57;3958;19;13000;17;3005583
[[(2,4),(1,2),(2,3),(1,3)],[(0,1),(3,3),(0,1),(3,1)],[(2,4),(1,1),(2,1)],[(0,4),(3,1),(0,2)],[(3,4),(0,2),(3,4),(0,1)],[(1,1),(2,1),(1,1),(2,3)]];22;4;6;48;10208;16;8875;16;2922125
[[(1,4),(3,2),(1,4)],[(2,3),(0,3),(2,3),(0,3)],[(2,4),(0,3),(2,3)],[(3,4),(1,1),(3,2),(1,1)],[(1,3),(3,1),(1,3),(3,3)],[(0,4),(2,1),(0,3),(2,1)]];22;4;6;59;4208;18;13750;16;3132417
[[(2,3),(3,1),(2,3),(3,1)],[(3,4),(2,1),(3,4)],[(1,4),(0,1),(1,2),(0,1)],[(0,4),(1,3),(0,3),(1,3)],[(3,1),(2,3),(3,3),(2,4)],[(0,2),(1,4),(0,2)]];22;4;6;57;13292;17;8709;16;3063833
[[(3,4),(1,3),(3,3),(1,2)],[(1,4),(3,1),(1,1),(3,3)],[(2,4),(0,3),(2,4),(0,1)],[(3,1),(1,3),(3,1)],[(0,1),(2,3),(0,3),(2,1)],[(2,2),(0,2),(2,2)]];22;4;6;52;4250;16;11375;16;3114333
[[(1,2),(0,1),(1,1),(0,2)],[(0,3),(1,4),(0,1),(1,3)],[(1,4),(0,1),(1,2)],[(3,3),(2,3),(3,3),(2,1)],[(2,1),(3,1),(2,3),(3,1)],[(2,3),(3,3),(2,1)]];22;4;6;47;13875;16;8250;16;3091458
[[(2,4),(0,4),(2,1),(0,1)],[(3,1),(1,3),(3,1),(1,2)],[(2,3),(0,4),(2,1)],[(1,2),(3,4),(1,1)],[(1,2),(3,4),(1,1),(3,1)],[(0,3),(2,3),(0,3),(2,4)]];22;4;6;53;4542;19;16625;16;3287042
[[(2,4),(1,2),(2,2),(1,1)],[(1,2),(2,3),(1,4)],[(1,2),(2,3),(1,2),(2,3)],[(3,3),(0,4),(3,3),(0,4)],[(0,4),(3,3),(0,2),(3,2)],[(3,4),(0,4),(3,1)]];22;4;6;62;8000;18;12166;18;3125500
[[(0,4),(1,2),(0,1)],[(3,2),(2,1),(3,1),(2,4)],[(0,4),(1,2),(0,4),(1,4)],[(3,4),(2,3),(3,2)],[(2,2),(3,2),(2,3),(3,3)],[(1,4),(0,4),(1,2),(0,2)]];22;4;6;60;4416;21;14833;19;3236625
[[(3,1),(0,2),(3,4)],[(0,4),(3,4),(0,1),(3,4)],[(1,4),(2,1),(1,1)],[(3,1),(0,2),(3,3),(0,3)],[(2,2),(1,1),(2,3),(1,2)],[(1,4),(2,2),(1,4),(2,3)]];22;4;6;56;4000;19;16250;18;3159084
[[(2,2),(3,2),(2,2),(3,3)],[(3,3),(2,2),(3,2),(2,1)],[(2,1),(3,1),(2,3)],[(1,1),(0,4),(1,4),(0,1)],[(0,1),(1,4),(0,1)],[(0,4),(1,4),(0,4),(1,4)]];22;4;6;54;3458;18;15375;17;3128167
[[(1,1),(0,3),(1,3),(0,2)],[(0,3),(1,2),(0,2),(1,1)],[(1,4),(0,1),(1,4)],[(3,2),(2,1),(3,4)],[(3,4),(2,1),(3,3),(2,2)],[(2,2),(3,3),(2,3),(3,4)]];22;4;6;55;4041;20;16792;20;3129375
[[(3,2),(2,3),(3,1),(2,2)],[(1,1),(0,3),(1,2),(0,4)],[(3,2),(2,2),(3,3)],[(0,1),(1,3),(0,2),(1,3)],[(0,1),(1,1),(0,3)],[(2,2),(3,3),(2,3),(3,3)]];22;4;6;50;6542;14;11209;14;3113167
[[(0,4),(3,4),(0,4)],[(0,1),(3,4),(0,2),(3,3)],[(1,2),(2,1),(1,4),(2,3)],[(1,1),(2,2),(1,4)],[(3,3),(0,1),(3,3),(0,2)],[(2,3),(1,3),(2,2),(1,1)]];22;4;6;57;4125;18;15959;17;3220125
[[(3,4),(2,1),(3,4),(2,1)],[(2,3),(3,4),(2,2),(3,1)],[(3,1),(2,1),(3,4)],[(0,3),(1,2),(0,3),(1,2)],[(1,1),(0,3),(1,2),(0,1)],[(1,2),(0,4),(1,4)]];22;4;6;53;3667;18;13875;18;3145917
[[(0,2),(1,4),(0,3),(1,2)],[(3,1),(2,3),(3,2),(2,4)],[(1,4),(0,4),(1,4),(0,1)],[(1,1),(0,1),(1,1)],[(3,4),(2,1),(3,4)],[(2,1),(3,2),(2,4),(3,1)]];22;4;6;54;3750;16;12625;16;3002416
[[(0,2),(1,3),(0,4),(1,3)],[(1,3),(0,2),(1,3),(0,4)],[(3,4),(2,1),(3,2)],[(3,3),(2,2),(3,1),(2,2)],[(1,4),(0,1),(1,2)],[(2,3),(3,3),(2,2),(3,4)]];22;4;6;58;4584;18;12417;18;3032208
[[(2,2),(0,4),(2,1)],[(3,1),(1,3),(3,4)],[(3,1),(1,3),(3,1),(1,4)],[(0,3),(2,2),(0,2),(2,2)],[(2,3),(0,3),(2,4),(0,4)],[(1,1),(3,2),(1,2),(3,4)]];22;4;6;56;3416;18;12167;16;3229666
[[(0,1),(3,4),(0,4),(3,2)],[(2,4),(1,4),(2,4),(1,4)],[(1,4),(2,1),(1,4),(2,3)],[(3,1),(0,2),(3,3),(0,2)],[(0,3),(3,2),(0,2)],[(2,3),(1,2),(2,3)]];22;4;6;62;3542;18;11250;18;3179417
[[(2,1),(0,2),(2,4),(0,2)],[(1,2),(3,2),(1,4),(3,3)],[(0,3),(2,2),(0,3)],[(0,1),(2,1),(0,2),(2,4)],[(1,3),(3,4),(1,3)],[(3,4),(1,2),(3,1),(1,4)]];22;4;6;57;3333;18;11334;18;2895208
[[(2,4),(0,1),(2,2)],[(1,1),(3,2),(1,1),(3,2)],[(0,2),(2,1),(0,4),(2,2)],[(2,3),(0,2),(2,2),(0,3)],[(3,1),(1,1),(3,3),(1,3)],[(3,4),(1,3),(3,3)]];22;4;6;50;4417;16;9584;15;3168625
[[(3,3),(0,1),(3,3),(0,1)],[(1,4),(2,1),(1,4)],[(3,3),(0,1),(3,2)],[(1,3),(2,2),(1,4),(2,2)],[(2,3),(1,4),(2,3),(1,2)],[(0,1),(3,2),(0,3),(3,2)]];22;4;6;54;3041;21;11916;21;3025417
[[(1,1),(2,1),(1,2),(2,1)],[(1,1),(2,1),(1,3)],[(0,4),(3,2),(0,3)],[(0,4),(3,3),(0,2),(3,2)],[(3,2),(0,3),(3,2),(0,3)],[(2,3),(1,4),(2,2),(1,1)]];22;4;6;50;7875;19;8541;19;2977083
[[(2,2),(1,1),(2,2),(1,3)],[(3,3),(0,4),(3,2)],[(0,4),(3,2),(0,4),(3,3)],[(1,3),(2,2),(1,3),(2,1)],[(3,4),(0,3),(3,1),(0,2)],[(2,3),(1,1),(2,1)]];22;4;6;54;4167;18;12042;17;3116417
[[(0,1),(3,4),(0,4)],[(2,4),(1,2),(2,2),(1,1)],[(1,4),(2,3),(1,4),(2,1)],[(0,2),(3,4),(0,4),(3,2)],[(3,1),(0,1),(3,2),(0,3)],[(1,1),(2,1),(1,2)]];22;4;6;53;8417;16;12292;16;3146208
[[(0,2),(2,1),(0,2),(2,2)],[(1,2),(3,1),(1,1),(3,1)],[(2,2),(0,2),(2,3)],[(2,3),(0,2),(2,2),(0,1)],[(3,2),(1,1),(3,4)],[(3,3),(1,1),(3,4),(1,4)]];22;4;6;46;4167;18;28333;15;3239333
[[(1,3),(3,4),(1,2),(3,3)],[(2,3),(0,1),(2,2),(0,1)],[(2,3),(0,3),(2,1)],[(3,2),(1,1),(3,1)],[(0,4),(2,3),(0,3),(2,1)],[(3,1),(1,1),(3,1),(1,1)]];22;4;6;45;3667;13;8667;13;3204459
[[(2,1),(1,3),(2,1)],[(3,1),(0,4),(3,2),(0,1)],[(0,4),(3,1),(0,1),(3,1)],[(0,3),(3,4),(0,3)],[(1,3),(2,3),(1,4),(2,2)],[(2,2),(1,1),(2,3),(1,2)]];22;4;6;50;3917;16;17583;16;3278333
[[(3,2),(2,4),(3,1),(2,4)],[(3,3),(2,3),(3,1)],[(2,4),(3,1),(2,1),(3,1)],[(0,3),(1,1),(0,1)],[(1,3),(0,2),(1,4),(0,2)],[(0,1),(1,3),(0,3),(1,1)]];22;4;6;49;3417;16;8375;16;3054625
[[(2,4),(3,4),(2,4)],[(0,2),(1,4),(0,2)],[(0,1),(1,2),(0,4),(1,3)],[(1,4),(0,1),(1,4),(0,4)],[(3,2),(2,4),(3,4),(2,3)],[(2,3),(3,3),(2,3),(3,4)]];22;4;6;69;3500;22;13417;21;3286459
[[(1,4),(2,3),(1,4)],[(0,3),(3,3),(0,1),(3,4)],[(2,4),(1,4),(2,1),(1,2)],[(3,2),(0,2),(3,1),(0,3)],[(3,3),(0,4),(3,4)],[(1,1),(2,1),(1,1),(2,2)]];22;4;6;57;3375;17;8417;17;3133917
[[(3,4),(1,4),(3,2)],[(0,3),(2,3),(0,3)],[(3,2),(1,4),(3,3),(1,3)],[(2,3),(0,1),(2,1),(0,4)],[(0,3),(2,3),(0,4),(2,3)],[(1,3),(3,4),(1,2),(3,3)]];22;4;6;65;4083;18;14416;18;3272958
[[(0,3),(1,1),(0,1)],[(3,3),(2,3),(3,4),(2,4)],[(2,1),(3,2),(2,3)],[(2,2),(3,1),(2,2),(3,1)],[(1,2),(0,2),(1,1),(0,4)],[(0,3),(1,3),(0,2),(1,1)]];22;4;6;49;3084;15;7917;15;3078083
[[(3,2),(1,4),(3,4),(1,3)],[(2,3),(0,4),(2,3),(0,3)],[(0,3),(2,3),(0,4),(2,4)],[(0,3),(2,1),(0,3)],[(1,2),(3,1),(1,4),(3,1)],[(1,3),(3,3),(1,3)]];22;4;6;64;4417;20;11416;20;3215667
[[(2,3),(1,4),(2,2),(1,1)],[(2,3),(1,3),(2,2)],[(1,1),(2,3),(1,2),(2,1)],[(3,3),(0,2),(3,2),(0,2)],[(0,3),(3,1),(0,1)],[(0,4),(3,4),(0,2),(3,2)]];22;4;6;51;3417;15;8750;14;3250000
[[(3,3),(2,3),(3,2),(2,4)],[(0,3),(1,1),(0,1),(1,4)],[(2,3),(3,3),(2,2)],[(1,2),(0,4),(1,1),(0,2)],[(2,3),(3,4),(2,3),(3,1)],[(1,1),(0,2),(1,4)]];22;4;6;56;3625;18;14334;18;3147959
[[(0,3),(1,2),(0,3),(1,3)],[(3,4),(2,4),(3,4)],[(1,4),(0,2),(1,1),(0,1)],[(0,3),(1,4),(0,3)],[(2,4),(3,1),(2,2),(3,2)],[(3,1),(2,3),(3,4),(2,4)]];22;4;6;62;8167;20;9042;17;3093875
[[(0,4),(2,3),(0,1),(2,3)],[(2,4),(0,4),(2,1),(0,3)],[(2,1),(0,1),(2,1)],[(1,4),(3,2),(1,1),(3,2)],[(1,2),(3,1),(1,3)],[(3,4),(1,2),(3,3),(1,1)]];22;4;6;51;3917;13;14375;13;3090750
[[(0,3),(2,3),(0,3),(2,1)],[(1,2),(3,1),(1,1)],[(3,4),(1,4),(3,4),(1,1)],[(2,4),(0,2),(2,4),(0,3)],[(2,3),(0,4),(2,2)],[(1,1),(3,3),(1,2),(3,1)]];22;4;6;56;12875;17;8041;17;3218542
[[(3,1),(2,3),(3,4),(2,4)],[(2,4),(3,4),(2,4),(3,1)],[(2,4),(3,2),(2,4)],[(1,3),(0,2),(1,1)],[(1,2),(0,3),(1,1),(0,4)],[(0,2),(1,3),(0,1),(1,1)]];22;4;6;58;6958;23;13750;23;3052833
[[(1,3),(2,3),(1,4)],[(3,3),(0,1),(3,1),(0,3)],[(3,1),(0,2),(3,1)],[(2,4),(1,2),(2,3),(1,2)],[(0,4),(3,3),(0,2),(3,4)],[(1,2),(2,1),(1,3),(2,4)]];22;4;6;56;8625;18;11125;16;2881292
[[(3,1),(2,1),(3,1),(2,3)],[(0,3),(1,1),(0,4),(1,3)],[(2,4),(3,2),(2,2)],[(1,3),(0,3),(1,3)],[(1,1),(0,2),(1,1),(0,2)],[(2,4),(3,4),(2,4),(3,1)]];22;4;6;53;8916;19;12708;18;3261292
[[(0,2),(1,1),(0,3),(1,2)],[(3,3),(2,3),(3,2),(2,1)],[(2,2),(3,2),(2,3),(3,2)],[(3,4),(2,2),(3,4)],[(1,4),(0,1),(1,1),(0,3)],[(1,2),(0,3),(1,4)]];22;4;6;54;7834;17;12416;17;3001292
[[(2,3),(0,3),(2,2),(0,3)],[(3,4),(1,4),(3,3),(1,1)],[(1,2),(3,1),(1,2),(3,2)],[(3,2),(1,4),(3,3)],[(0,3),(2,3),(0,2)],[(0,2),(2,1),(0,4),(2,1)]];22;4;6;55;4958;17;14250;17;3366791
[[(3,1),(0,2),(3,2),(0,1)],[(1,2),(2,1),(1,1),(2,2)],[(3,4),(0,4),(3,1)],[(2,4),(1,1),(2,2)],[(0,4),(3,1),(0,1),(3,3)],[(2,1),(1,4),(2,1),(1,2)]];22;4;6;45;7209;14;8917;12;3141125
[[(2,2),(1,4),(2,2),(1,4)],[(3,3),(0,1),(3,3),(0,3)],[(3,4),(0,3),(3,2)],[(0,3),(3,3),(0,2),(3,4)],[(1,3),(2,3),(1,2),(2,4)],[(2,1),(1,3),(2,4)]];22;4;6;63;4291;19;11833;19;3114042
[[(1,4),(0,1),(1,1),(0,1)],[(3,1),(2,2),(3,3),(2,4)],[(2,2),(3,4),(2,3),(3,4)],[(1,4),(0,2),(1,3)],[(2,4),(3,3),(2,1)],[(0,2),(1,3),(0,2),(1,3)]];22;4;6;57;3667;18;8167;18;3125083
[[(3,4),(2,4),(3,4),(2,2)],[(0,4),(1,3),(0,4)],[(0,3),(1,2),(0,3),(1,3)],[(2,2),(3,4),(2,3),(3,2)],[(2,4),(3,1),(2,2)],[(1,4),(0,4),(1,3),(0,2)]];22;4;6;67;4125;21;12458;20;3204583
[[(1,3),(0,1),(1,1),(0,4)],[(0,3),(1,1),(0,3),(1,1)],[(1,4),(0,2),(1,4)],[(2,4),(3,3),(2,1)],[(2,1),(3,2),(2,3),(3,1)],[(3,3),(2,4),(3,3),(2,2)]];22;4;6;54;10000;16;9959;15;3272125
[[(3,4),(1,3),(3,4),(1,2)],[(0,1),(2,1),(0,1)],[(2,2),(0,2),(2,2),(0,1)],[(3,1),(1,2),(3,1)],[(0,3),(2,4),(0,4),(2,3)],[(1,1),(3,1),(1,2),(3,1)]];22;4;6;46;4541;15;14084;14;3148291
[[(0,3),(1,4),(0,1),(1,4)],[(3,4),(2,4),(3,3)],[(2,4),(3,1),(2,4),(3,2)],[(1,3),(0,3),(1,2),(0,2)],[(3,2),(2,1),(3,4),(2,4)],[(1,1),(0,3),(1,3)]];22;4;6;62;3667;19;12167;18;3128750
[[(0,1),(1,4),(0,4)],[(2,3),(3,3),(2,3)],[(2,2),(3,3),(2,2),(3,4)],[(3,4),(2,2),(3,2),(2,4)],[(1,3),(0,2),(1,2),(0,1)],[(0,1),(1,3),(0,1),(1,3)]];22;4;6;57;4042;16;14291;16;3324542
[[(1,3),(2,1),(1,2)],[(0,2),(3,2),(0,4),(3,1)],[(3,4),(0,2),(3,3),(0,3)],[(3,3),(0,1),(3,2)],[(1,2),(2,2),(1,3),(2,2)],[(2,1),(1,3),(2,3),(1,3)]];22;4;6;52;7500;16;11042;16;3409000
[[(3,2),(0,4),(3,2)],[(2,2),(1,1),(2,4)],[(2,4),(1,4),(2,1),(1,2)],[(0,2),(3,2),(0,2),(3,3)],[(1,3),(2,1),(1,4),(2,3)],[(3,2),(0,2),(3,4),(0,1)]];22;4;6;55;3584;17;13125;16;3349083
[[(0,3),(2,4),(0,1)],[(1,2),(3,3),(1,2)],[(0,1),(2,2),(0,2),(2,2)],[(3,2),(1,3),(3,4),(1,4)],[(1,2),(3,1),(1,4),(3,1)],[(2,4),(0,1),(2,2),(0,2)]];22;4;6;52;8750;17;10417;17;3081708
[[(1,1),(2,1),(1,1),(2,2)],[(0,4),(3,1),(0,3)],[(1,3),(2,2),(1,2)],[(3,4),(0,4),(3,3),(0,1)],[(0,2),(3,2),(0,3),(3,3)],[(2,2),(1,3),(2,3),(1,1)]];22;4;6;51;3708;19;10709;17;3256583
[[(3,3),(2,4),(3,3),(2,4)],[(1,2),(0,2),(1,2),(0,3)],[(2,4),(3,4),(2,2),(3,3)],[(1,1),(0,3),(1,1)],[(2,3),(3,2),(2,3)],[(0,3),(1,3),(0,1),(1,4)]];22;4;6;60;10833;20;9167;20;3142375
[[(2,2),(0,3),(2,1)],[(3,1),(1,3),(3,3)],[(0,2),(2,2),(0,2),(2,4)],[(1,3),(3,2),(1,1),(3,3)],[(3,3),(1,2),(3,4),(1,1)],[(2,3),(0,3),(2,3),(0,3)]];22;4;6;54;4042;16;17041;16;3236542
[[(2,3),(0,3),(2,3),(0,1)],[(1,4),(3,3),(1,3),(3,1)],[(0,1),(2,1),(0,4),(2,1)],[(2,4),(0,4),(2,2)],[(3,4),(1,4),(3,3),(1,3)],[(1,1),(3,4),(1,2)]];22;4;6;59;4250;17;11334;17;3002625
[[(3,2),(1,4),(3,2)],[(2,1),(0,2),(2,2)],[(3,4),(1,1),(3,1),(1,1)],[(1,4),(3,4),(1,2),(3,3)],[(0,1),(2,2),(0,3),(2,1)],[(2,4),(0,3),(2,4),(0,3)]];22;4;6;54;3541;16;16042;16;3166042
[[(1,1),(0,4),(1,1),(0,1)],[(3,1),(2,1),(3,1),(2,1)],[(2,1),(3,3),(2,3)],[(0,3),(1,1),(0,4)],[(0,3),(1,2),(0,1),(1,2)],[(2,1),(3,2),(2,1),(3,2)]];22;4;6;40;4250;17;11875;16;3098292
[[(2,2),(0,2),(2,1)],[(1,4),(3,4),(1,3),(3,1)],[(3,4),(1,4),(3,1),(1,2)],[(0,2),(2,3),(0,3),(2,2)],[(2,2),(0,3),(2,3),(0,2)],[(3,2),(1,2),(3,3)]];22;4;6;55;4750;15;16208;15;3362959
[[(3,4),(0,2),(3,2),(0,3)],[(2,3),(1,4),(2,1)],[(1,4),(2,3),(1,4),(2,2)],[(0,2),(3,2),(0,4),(3,2)],[(3,3),(0,4),(3,3)],[(2,2),(1,3),(2,1),(1,1)]];22;4;6;59;4291;18;18000;16;3747334
[[(3,3),(1,1),(3,4),(1,2)],[(3,2),(1,3),(3,2)],[(0,3),(2,2),(0,2)],[(1,3),(3,3),(1,4),(3,4)],[(0,3),(2,2),(0,2),(2,1)],[(2,1),(0,3),(2,1),(0,1)]];22;4;6;52;3541;18;15708;18;3151667
[[(2,3),(3,4),(2,4),(3,1)],[(0,1),(1,4),(0,3),(1,4)],[(3,1),(2,1),(3,2),(2,4)],[(1,2),(0,3),(1,2)],[(1,4),(0,2),(1,1),(0,1)],[(3,3),(2,4),(3,1)]];22;4;6;55;4708;17;17125;17;3382125
[[(1,4),(3,4),(1,1),(3,2)],[(3,2),(1,4),(3,3),(1,4)],[(1,2),(3,1),(1,3)],[(2,2),(0,2),(2,2),(0,1)],[(0,4),(2,4),(0,2),(2,2)],[(2,3),(0,2),(2,4)]];22;4;6;58;5000;18;14000;18;3368917
[[(3,3),(0,3),(3,1),(0,4)],[(2,1),(1,1),(2,1),(1,4)],[(1,2),(2,2),(1,2),(2,2)],[(0,3),(3,4),(0,2)],[(2,1),(1,2),(2,3)],[(0,3),(3,4),(0,3),(3,1)]];22;4;6;52;3459;18;10625;18;3130084
[[(2,4),(3,1),(2,3),(3,2)],[(1,2),(0,3),(1,3),(0,1)],[(3,1),(2,4),(3,2)],[(0,1),(1,3),(0,1),(1,3)],[(1,1),(0,4),(1,2)],[(3,3),(2,3),(3,3),(2,3)]];22;4;6;53;5417;17;22625;17;3084125
[[(2,3),(0,1),(2,1),(0,1)],[(3,2),(1,4),(3,4)],[(0,1),(2,2),(0,3),(2,4)],[(1,3),(3,2),(1,4),(3,1)],[(3,4),(1,2),(3,4),(1,2)],[(2,3),(0,3),(2,1)]];22;4;6;55;4417;18;17417;17;3368625
[[(0,1),(2,1),(0,3),(2,3)],[(2,3),(0,4),(2,4),(0,2)],[(3,4),(1,1),(3,3),(1,1)],[(3,2),(1,1),(3,2)],[(0,1),(2,3),(0,1)],[(1,2),(3,2),(1,2),(3,3)]];22;4;6;49;5084;16;19542;16;3476459
[[(3,2),(0,4),(3,3)],[(2,3),(1,4),(2,4)],[(3,3),(0,2),(3,2),(0,4)],[(1,4),(2,2),(1,3),(2,1)],[(2,1),(1,4),(2,3),(1,1)],[(0,2),(3,2),(0,3),(3,4)]];22;4;6;61;4334;16;14750;16;3465084
[[(1,1),(2,2),(1,1)],[(0,3),(3,4),(0,1)],[(1,4),(2,4),(1,1),(2,4)],[(3,2),(0,1),(3,1),(0,4)],[(2,4),(1,4),(2,1),(1,2)],[(0,3),(3,1),(0,2),(3,1)]];22;4;6;51;4375;15;17333;15;3362834
[[(1,1),(3,1),(1,4),(3,2)],[(0,4),(2,1),(0,3),(2,4)],[(2,3),(0,1),(2,1)],[(3,2),(1,2),(3,3),(1,4)],[(2,4),(0,2),(2,3),(0,1)],[(3,3),(1,1),(3,3)]];22;4;6;53;3875;16;14333;16;3025167
[[(1,1),(2,3),(1,3),(2,3)],[(0,3),(3,3),(0,1)],[(1,3),(2,2),(1,3)],[(2,4),(1,4),(2,2),(1,3)],[(3,1),(0,4),(3,4),(0,3)],[(0,4),(3,4),(0,1),(3,4)]];22;4;6;63;4709;19;14166;19;3397166
[[(1,1),(2,4),(1,2)],[(0,4),(3,3),(0,3),(3,3)],[(3,1),(0,1),(3,2)],[(1,1),(2,4),(1,3),(2,3)],[(3,3),(0,3),(3,3),(0,3)],[(2,2),(1,4),(2,2),(1,2)]];22;4;6;57;4125;16;13250;15;3367500
[[(0,4),(1,4),(0,1)],[(2,2),(3,4),(2,3),(3,3)],[(1,4),(0,3),(1,4),(0,1)],[(3,2),(2,4),(3,3),(2,2)],[(0,1),(1,1),(0,3),(1,4)],[(3,4),(2,1),(3,2)]];22;4;6;60;4666;18;15250;18;3257542
[[(3,2),(2,4),(3,3),(2,4)],[(0,1),(1,4),(0,2)],[(0,2),(1,2),(0,1),(1,4)],[(1,3),(0,2),(1,1),(0,3)],[(2,2),(3,3),(2,2),(3,3)],[(2,1),(3,2),(2,1)]];22;4;6;52;3959;14;11916;14;3283250
[[(1,3),(2,4),(1,4),(2,3)],[(3,1),(0,3),(3,1),(0,2)],[(1,3),(2,1),(1,2)],[(2,3),(1,4),(2,1),(1,1)],[(0,3),(3,3),(0,3),(3,4)],[(0,4),(3,1),(0,3)]];22;4;6;57;4000;18;14250;18;3157792
[[(0,2),(2,1),(0,1),(2,1)],[(3,4),(1,2),(3,3),(1,2)],[(2,4),(0,4),(2,2)],[(1,1),(3,4),(1,3)],[(2,3),(0,2),(2,2),(0,3)],[(1,3),(3,2),(1,4),(3,1)]];22;4;6;54;3541;17;17709;15;3055875
[[(3,4),(2,3),(3,4),(2,3)],[(0,4),(1,4),(0,4),(1,2)],[(1,3),(0,4),(1,4),(0,1)],[(2,2),(3,2),(2,1)],[(2,3),(3,1),(2,4),(3,4)],[(0,3),(1,2),(0,3)]];22;4;6;65;4041;19;15000;19;3217041
[[(2,1),(1,1),(2,4),(1,2)],[(1,2),(2,1),(1,3)],[(3,2),(0,2),(3,3),(0,3)],[(0,2),(3,2),(0,2)],[(0,1),(3,1),(0,4),(3,2)],[(1,4),(2,3),(1,4),(2,1)]];22;4;6;50;3584;16;8792;16;3186625
[[(3,1),(1,1),(3,3),(1,3)],[(0,1),(2,4),(0,3),(2,4)],[(2,2),(0,4),(2,4),(0,4)],[(1,1),(3,2),(1,4)],[(1,3),(3,4),(1,3),(3,3)],[(0,2),(2,1),(0,1)]];22;4;6;58;4084;15;15667;15;3362500
